osmid,name,highway,maxspeed,width,oneway,reversed,length,lanes,geometry,service,ref,access,tunnel,bridge,junction
30833674,,service,,,False,True,16.958,,"LINESTRING (7.3711974 51.4951284, 7.3710444 51.4952475)",parking_aisle,,,,,
330571856,,service,,,False,False,114.326,,"LINESTRING (7.3711974 51.4951284, 7.3724784 51.4957773)",parking_aisle,,,,,
30833671,,service,,,False,True,114.958,,"LINESTRING (7.3713477 51.4950114, 7.3726264 51.495671)",parking_aisle,,,,,
30833674,,service,,,False,False,15.452,,"LINESTRING (7.3713477 51.4950114, 7.3714843 51.4949015)",parking_aisle,,,,,
30833674,,service,,,False,True,16.659,,"LINESTRING (7.3713477 51.4950114, 7.3711974 51.4951284)",parking_aisle,,,,,
30833671,,service,,,False,False,114.958,,"LINESTRING (7.3726264 51.495671, 7.3713477 51.4950114)",parking_aisle,,,,,
75378627,,service,,,True,False,5.074,,"LINESTRING (7.3726264 51.495671, 7.372674 51.4956363)",,,,,,
30833673,,service,,,False,True,114.87,,"LINESTRING (7.3727776 51.4955487, 7.3714843 51.4949015)",parking_aisle,,,,,
75378627,,service,,,True,False,14.99,,"LINESTRING (7.3727776 51.4955487, 7.3729134 51.4954437)",,,,,,
30833675,,service,,,False,False,114.746,,"LINESTRING (7.3729134 51.4954437, 7.3716224 51.4947965)",parking_aisle,,,,,
75378627,,service,,,True,False,16.55,,"LINESTRING (7.3729134 51.4954437, 7.3730628 51.4953275)",,,,,,
30833670,,service,,,False,True,114.228,,"LINESTRING (7.3710444 51.4952475, 7.3723324 51.4958896)",parking_aisle,,,,,
30833674,,service,,,False,False,16.958,,"LINESTRING (7.3710444 51.4952475, 7.3711974 51.4951284)",parking_aisle,,,,,
30833674,,service,,,False,True,15.003,,"LINESTRING (7.3710444 51.4952475, 7.3709081 51.4953524)",parking_aisle,,,,,
30833667,,service,,,False,True,35.827,,"LINESTRING (7.3709081 51.4953524, 7.3713092 51.495556)",parking_aisle,,,,,
30833674,,service,,,False,False,15.003,,"LINESTRING (7.3709081 51.4953524, 7.3710444 51.4952475)",parking_aisle,,,,,
52791347,,footway,,,False,True,13.312,,"LINESTRING (7.3709081 51.4953524, 7.3707629 51.4953091, 7.3707466 51.4953019, 7.3707388 51.4952968)",,,,,,
